Filename,Class_Label,Dataset_Type,File_Path
bamboo_1.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1.jpg
bamboo_10.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_10.jpg
bamboo_100.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_100.jpg
bamboo_1000.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1000.webp
bamboo_1001.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1001.jpg
bamboo_1002.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1002.webp
bamboo_1003.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1003.webp
bamboo_1004.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1004.jpg
bamboo_1005.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1005.webp
bamboo_1006.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1006.jpg
bamboo_1007.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1007.webp
bamboo_1008.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1008.webp
bamboo_1009.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1009.webp
bamboo_101.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_101.webp
bamboo_1010.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1010.webp
bamboo_1011.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1011.webp
bamboo_1012.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1012.webp
bamboo_1013.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1013.webp
bamboo_1014.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1014.webp
bamboo_1015.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1015.webp
bamboo_1016.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1016.jpg
bamboo_1017.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1017.webp
bamboo_1018.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1018.webp
bamboo_1019.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1019.jpg
bamboo_102.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_102.webp
bamboo_1020.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1020.webp
bamboo_1021.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1021.webp
bamboo_1022.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1022.webp
bamboo_1023.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1023.jpg
bamboo_1024.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1024.jpg
bamboo_1025.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1025.webp
bamboo_1026.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1026.webp
bamboo_1027.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1027.webp
bamboo_1028.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1028.webp
bamboo_1029.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1029.jpg
bamboo_103.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_103.webp
bamboo_1030.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1030.jpg
bamboo_1031.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1031.webp
bamboo_1032.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1032.webp
bamboo_1033.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1033.webp
bamboo_1034.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1034.jpg
bamboo_1035.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1035.webp
bamboo_1036.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1036.webp
bamboo_1037.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1037.jpg
bamboo_1038.jpg,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1038.jpg
bamboo_1039.webp,bamboo_forest,train,C:\Users\USER\Desktop\ai_dataset\forestry_dataset_splitted\train\bamboo_forest\bamboo_1039.webp
